Date,Description,Billing amount,Billing currency,Balance,Balance currency
30/12/2024,CASH REBATE 5489         CREDIT AS ADVISED,"0.98",HKD,"1,414.24",HKD
30/12/2024,POS MDC   (29DEC24)P     BEP CT,"-246.00",HKD,"1,413.26",HKD
29/12/2024,POS TSUI WAH RESTAURANT  (28DEC24),"-142.00",HKD,"1,659.26",HKD
29/12/2024,POS WELLCOME SUPERMARK   (28DEC24),"-89.90",HKD,"1,701.26",HKD
28/12/2024,CREDIT INTEREST,"0.18",HKD,"1,791.16",HKD
28/12/2024,POS CAFE DE CORAL TST    (27DEC24),"-55.00",HKD,"1,790.98",HKD
27/12/2024,POS SUPERMARKET EXPRESS  (26DEC24),"-125.50",HKD,"1,845.98",HKD
27/12/2024,POS CIRCLE K CENTRAL     (26DEC24),"-32.50",HKD,"1,971.48",HKD
26/12/2024,ATM WITHDRAWAL HSBC TST  (26DEC24),"-500.00",HKD,"2,003.98",HKD
26/12/2024,POS OCTOPUS ADD VALUE    (25DEC24),"-200.00",HKD,"2,503.98",HKD
25/12/2024,POS AEON WANCHAI         (24DEC24),"-178.60",HKD,"2,703.98",HKD
25/12/2024,POS TAI HING JORDAN      (24DEC24),"-88.00",HKD,"2,882.58",HKD
24/12/2024,SALARY PAYMENT,"15,000.00",HKD,"2,970.58",HKD
23/12/2024,POS FAIRWOOD CENTRAL     (22DEC24),"-92.00",HKD,"2,882.58",HKD
23/12/2024,POS PACIFIC COFFEE       (22DEC24),"-42.00",HKD,"2,974.58",HKD
22/12/2024,POS YOSHINOYA TST        (21DEC24),"-48.00",HKD,"3,016.58",HKD
22/12/2024,POS CITY SUPER           (21DEC24),"-156.80",HKD,"3,064.58",HKD
21/12/2024,POS VANGO JORDAN         (20DEC24),"-128.50",HKD,"3,221.38",HKD
21/12/2024,POS SOGO CAUSEWAY        (20DEC24),"-234.60",HKD,"3,249.88",HKD
20/12/2024,ATM WITHDRAWAL HSBC TST  (20DEC24),"-1000.00",HKD,"3,484.48",HKD
20/12/2024,POS LUCULLUS CENTRAL     (19DEC24),"-242.00",HKD,"4,484.48",HKD
19/12/2024,POS OCTOPUS ADD VALUE    (18DEC24),"-500.00",HKD,"4,526.48",HKD
19/12/2024,POS MAXIM'S JORDAN       (18DEC24),"-88.00",HKD,"5,026.48",HKD
18/12/2024,POS KFC TST              (17DEC24),"-55.00",HKD,"5,114.48",HKD
18/12/2024,POS TASTE SUPERMARK      (17DEC24),"-167.90",HKD,"5,169.48",HKD
17/12/2024,POS FAMILY MART          (16DEC24),"-42.50",HKD,"5,337.38",HKD
17/12/2024,POS MANNINGS WANCHAI     (16DEC24),"-198.60",HKD,"5,379.88",HKD
16/12/2024,ATM WITHDRAWAL HSBC TST  (16DEC24),"-500.00",HKD,"5,578.48",HKD
16/12/2024,POS CRYSTAL JADE         (15DEC24),"-242.00",HKD,"6,078.48",HKD
15/12/2024,POS OCTOPUS ADD VALUE    (14DEC24),"-200.00",HKD,"6,120.48",HKD
15/12/2024,POS CURRY HOUSE          (14DEC24),"-95.00",HKD,"6,320.48",HKD
14/12/2024,POS SUBWAY TST           (13DEC24),"-62.00",HKD,"6,415.48",HKD
14/12/2024,POS MARKET PLACE         (13DEC24),"-145.70",HKD,"6,477.48",HKD
13/12/2024,POS LAWSONS              (12DEC24),"-38.50",HKD,"6,623.18",HKD
13/12/2024,POS WATSONS WANCHAI      (12DEC24),"-267.80",HKD,"6,661.68",HKD
12/12/2024,ATM WITHDRAWAL HSBC TST  (12DEC24),"-1000.00",HKD,"6,929.48",HKD
12/12/2024,POS DELI FRANCE          (11DEC24),"-42.00",HKD,"7,929.48",HKD
11/12/2024,POS OCTOPUS ADD VALUE    (10DEC24),"-500.00",HKD,"7,971.48",HKD
11/12/2024,POS GENKI SUSHI          (10DEC24),"-188.00",HKD,"8,471.48",HKD
10/12/2024,POS PIZZA HUT TST        (09DEC24),"-155.00",HKD,"8,559.48",HKD
10/12/2024,POS JUSCO SUPERMARK      (09DEC24),"-178.90",HKD,"8,614.48",HKD
09/12/2024,POS OK CONVENIENCE       (08DEC24),"-29.50",HKD,"8,793.38",HKD
09/12/2024,POS CITY'SUPER WANCHAI   (08DEC24),"-223.60",HKD,"8,822.88",HKD
08/12/2024,ATM WITHDRAWAL HSBC TST  (08DEC24),"-500.00",HKD,"9,046.48",HKD
08/12/2024,POS COFFEE ACADEMICS     (07DEC24),"-42.00",HKD,"9,546.48",HKD
07/12/2024,POS OCTOPUS ADD VALUE    (06DEC24),"-200.00",HKD,"9,588.48",HKD
07/12/2024,POS PHO24 JORDAN         (06DEC24),"-92.00",HKD,"9,788.48",HKD
06/12/2024,POS BURGER KING TST      (05DEC24),"-48.00",HKD,"9,880.48",HKD
06/12/2024,POS GREAT SUPERMARK      (05DEC24),"-167.80",HKD,"9,928.48",HKD
05/12/2024,POS VANGO CENTRAL        (04DEC24),"-35.50",HKD,"10,096.28",HKD
05/12/2024,POS FORTRESS WANCHAI     (04DEC24),"-189.60",HKD,"10,131.78",HKD
04/12/2024,ATM WITHDRAWAL HSBC TST  (04DEC24),"-1000.00",HKD,"10,321.38",HKD
04/12/2024,POS MCCAFE CENTRAL       (03DEC24),"-42.00",HKD,"11,321.38",HKD
03/12/2024,POS OCTOPUS ADD VALUE    (02DEC24),"-500.00",HKD,"11,363.38",HKD
03/12/2024,POS CHA CHAAN TENG       (02DEC24),"-88.00",HKD,"11,863.38",HKD
02/12/2024,POS POPEYES TST          (01DEC24),"-55.00",HKD,"11,951.38",HKD
02/12/2024,POS APITA SUPERMARK      (01DEC24),"-145.90",HKD,"12,006.38",HKD
01/12/2024,POS HI-LIFE CENTRAL      (30NOV24),"-32.50",HKD,"12,152.28",HKD
01/12/2024,POS JOINT PUBLISHING     (30NOV24),"-178.60",HKD,"12,184.78",HKD
30/11/2024,ATM WITHDRAWAL HSBC TST  (30NOV24),"-500.00",HKD,"12,363.38",HKD
30/11/2024,POS HOLLY BROWN          (29NOV24),"-42.00",HKD,"12,863.38",HKD
29/11/2024,POS OCTOPUS ADD VALUE    (28NOV24),"-200.00",HKD,"12,905.38",HKD
29/11/2024,POS SUSHI EXPRESS        (28NOV24),"-195.00",HKD,"13,105.38",HKD
28/11/2024,POS FIVE GUYS TST        (27NOV24),"-162.00",HKD,"13,200.38",HKD
28/11/2024,POS DON DON DONKI        (27NOV24),"-156.70",HKD,"13,262.38",HKD
27/11/2024,POS CM+ CENTRAL          (26NOV24),"-28.50",HKD,"13,419.08",HKD
27/11/2024,POS LOG-ON WANCHAI       (26NOV24),"-234.80",HKD,"13,447.58",HKD
26/11/2024,ATM WITHDRAWAL HSBC TST  (26NOV24),"-1000.00",HKD,"13,682.38",HKD
26/11/2024,POS AGNÈS B CAFE         (25NOV24),"-142.00",HKD,"14,682.38",HKD
25/11/2024,SALARY PAYMENT,"15,000.00",HKD,"14,724.38",HKD
25/11/2024,POS TAI HING DIM SUM     (24NOV24),"-188.00",HKD,"14,724.38",HKD
24/11/2024,POS JOLLIBEE TST         (23NOV24),"-55.00",HKD,"14,812.38",HKD
24/11/2024,POS JASON'S MARKET       (23NOV24),"-167.90",HKD,"14,867.38",HKD
23/11/2024,POS SUN KEE CENTRAL      (22NOV24),"-142.50",HKD,"15,035.28",HKD
23/11/2024,POS MUJI WANCHAI         (22NOV24),"-198.60",HKD,"15,077.78",HKD
22/11/2024,ATM WITHDRAWAL HSBC TST  (22NOV24),"-500.00",HKD,"15,276.38",HKD
22/11/2024,POS NESPRESSO CAUSEWAY   (21NOV24),"-242.00",HKD,"15,776.38",HKD
21/11/2024,POS OCTOPUS ADD VALUE    (20NOV24),"-200.00",HKD,"15,818.38",HKD
21/11/2024,POS TAMJAI SAMGOR        (20NOV24),"-92.00",HKD,"16,018.38",HKD
20/11/2024,POS PEPPER LUNCH TST     (19NOV24),"-148.00",HKD,"16,110.38",HKD
20/11/2024,POS YATA SUPERMARK      (19NOV24),"-145.80",HKD,"16,158.38",HKD
19/11/2024,POS QUICKLYBUY           (18NOV24),"-35.50",HKD,"16,304.18",HKD
19/11/2024,POS ESLITE WANCHAI       (18NOV24),"-267.60",HKD,"16,339.68",HKD
18/11/2024,ATM WITHDRAWAL HSBC TST  (18NOV24),"-1000.00",HKD,"16,607.28",HKD
18/11/2024,POS COMMON GROUND        (17NOV24),"-142.00",HKD,"17,607.28",HKD
17/11/2024,POS OCTOPUS ADD VALUE    (16NOV24),"-500.00",HKD,"17,649.28",HKD
17/11/2024,POS PHD JORDAN           (16NOV24),"-188.00",HKD,"18,149.28",HKD
16/11/2024,POS MOS BURGER TST       (15NOV24),"-155.00",HKD,"18,237.28",HKD
16/11/2024,POS U-SELECT MARKET      (15NOV24),"-178.90",HKD,"18,292.28",HKD
15/11/2024,POS VIC CENTRAL          (14NOV24),"-29.50",HKD,"18,471.18",HKD
15/11/2024,POS HMV WANCHAI          (14NOV24),"-223.60",HKD,"18,500.68",HKD
14/11/2024,ATM WITHDRAWAL HSBC TST  (14NOV24),"-500.00",HKD,"18,724.28",HKD
14/11/2024,POS 18 GRAMS             (13NOV24),"-142.00",HKD,"19,224.28",HKD
13/11/2024,POS OCTOPUS ADD VALUE    (12NOV24),"-200.00",HKD,"19,266.28",HKD
13/11/2024,POS TAMJAI YUNNAN        (12NOV24),"-195.00",HKD,"19,466.28",HKD
12/11/2024,POS SUBWAY TST           (11NOV24),"-162.00",HKD,"19,561.28",HKD
12/11/2024,POS AEON SUPERMARK       (11NOV24),"-156.70",HKD,"19,623.28",HKD
11/11/2024,POS VANGO CENTRAL        (10NOV24),"-28.50",HKD,"19,779.98",HKD
11/11/2024,POS WIREWEAR WANCHAI     (10NOV24),"-234.80",HKD,"19,808.48",HKD
10/11/2024,ATM WITHDRAWAL HSBC TST  (10NOV24),"-1000.00",HKD,"20,043.28",HKD
10/11/2024,POS TSUI WAH CAUSEWAY    (09NOV24),"-142.00",HKD,"21,043.28",HKD
09/11/2024,POS OCTOPUS ADD VALUE    (08NOV24),"-500.00",HKD,"21,085.28",HKD
09/11/2024,POS PHD JORDAN           (08NOV24),"-188.00",HKD,"21,585.28",HKD
08/11/2024,POS BURGER KING TST      (07NOV24),"-155.00",HKD,"21,673.28",HKD
08/11/2024,POS TASTE SUPERMARK      (07NOV24),"-167.90",HKD,"21,728.28",HKD
07/11/2024,POS AEON EXPRESS         (06NOV24),"-142.50",HKD,"21,896.18",HKD
07/11/2024,POS ESLITE WANCHAI       (06NOV24),"-198.60",HKD,"21,938.68",HKD
06/11/2024,ATM WITHDRAWAL HSBC TST  (06NOV24),"-500.00",HKD,"22,137.28",HKD
06/11/2024,POS PACIFIC COFFEE       (05NOV24),"-142.00",HKD,"22,637.28",HKD
05/11/2024,POS OCTOPUS ADD VALUE    (04NOV24),"-200.00",HKD,"22,679.28",HKD
05/11/2024,POS CURRY HOUSE          (04NOV24),"-192.00",HKD,"22,879.28",HKD
04/11/2024,POS YOSHINOYA TST        (03NOV24),"-148.00",HKD,"22,971.28",HKD
04/11/2024,POS MARKET PLACE         (03NOV24),"-145.80",HKD,"23,019.28",HKD
03/11/2024,POS FAMILY MART          (02NOV24),"-135.50",HKD,"23,165.08",HKD
03/11/2024,POS CITY'SUPER WANCHAI   (02NOV24),"-267.60",HKD,"23,200.58",HKD
02/11/2024,ATM WITHDRAWAL HSBC TST  (02NOV24),"-1000.00",HKD,"23,468.18",HKD
02/11/2024,POS AGNÈS B CAFE         (01NOV24),"-142.00",HKD,"24,468.18",HKD
01/11/2024,POS OCTOPUS ADD VALUE    (31OCT24),"-500.00",HKD,"24,510.18",HKD
01/11/2024,POS CHA CHAAN TENG       (31OCT24),"-188.00",HKD,"25,010.18",HKD
